dataset,source,n_rows,p_encoded,IR,n_minority,standard_auc,standard_accuracy,standard_output_stab,standard_structural,standard_accuracy_worst,label_equal,label_stability,balanced_wins_equal,balanced_wins_stability,label_output_stab,label_output_stab_balanced,label_structural,label_structural_balanced,label_auc_worst,label_auc_worst_balanced,label_accuracy_worst,label_accuracy_worst_balanced
vowel0,KEEL,988,13,9.98,90,0.9957283950617284,0.9693939393939393,0.0012651508366266,4.243666724121246,0.9090909090909092,stable,stable,other,other,stable,other,stable,other,standard,other,stable,other
winequality_red_3_vs_5,KEEL,691,11,68.1,10,0.2427536231884058,0.9857142857142857,0.0002664814468019,1.8106776805012803,0.9857142857142858,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,stable,other,standard,other
winequality_red_4,KEEL,1599,11,29.17,53,0.7482451612903225,0.96875,0.0003072627477916,0.4355205310784306,0.96875,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,stable,other,standard,other
winequality_red_8_vs_6_7,KEEL,855,11,46.5,18,0.803809523809524,0.9767441860465118,0.0002809629496848,0.954421123158703,0.9767441860465116,stable,balanced,other,balanced,balanced,balanced,balanced,balanced,standard,other,standard,other
winequality_white_3_vs_7,KEEL,900,11,44.0,20,0.9022727272727272,0.9851111111111114,0.0022833209380922,0.9915979279494812,0.9777777777777776,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,standard,other
winequality_white_9_vs_4,KEEL,168,11,32.6,5,1.0,0.9558823529411764,0.0056828282816486,5.0126614205150615,0.9411764705882352,standard,balanced,other,balanced,balanced,balanced,balanced,balanced,standard,other,standard,other
yeast3,KEEL,1484,8,8.1,163,0.9531813909774436,0.912013422818792,0.009288083707142,1.298044461990606,0.8926174496644296,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,standard,other
yeast5,KEEL,1484,8,32.73,44,0.9925862068965516,0.9764429530201344,0.00154971607207,2.0293483892530273,0.9731543624161074,standard,balanced,other,balanced,balanced,balanced,balanced,balanced,standard,other,standard,other
yeast6,KEEL,1484,8,41.4,35,0.9773448275862066,0.9790604026845638,0.0012347101941876,1.4035054098216602,0.9731543624161074,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,stable,other,standard,other
zoo_3,KEEL,101,16,19.2,5,0.9530000000000004,0.9245454545454544,0.0105943634271665,2.770337998152741,0.9090909090909092,balanced,balanced,balanced,balanced,balanced,balanced,balanced,balanced,standard,other,standard,other
