dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
glass2,11.59,standard,0.0016023953759922952,0.866164438479848,0.7502335336986039,1.616397972178452,36.53393504546303,10.0,0.46,0.9081818181818179,0.006395695188013163,0.8636363636363636,0.9239999999999999,0.08818598344843513,0.675,0.014127149968408048,0.004385538848099974,1.4127149968408048,,,
glass2,11.59,stable,0.0007609566699661269,0.23075553925194583,0.31062853278567243,0.5413840720376183,65.83005626207662,100.0,0.69,0.9090909090909087,3.3474483693592255e-16,0.9090909090909091,0.9375,0.05612711043027715,0.75,0.4499288033042103,0.030423656716653008,44.99288033042103,1.0755116319769689,0.7,0.73
glass2,11.59,balanced,0.00018967152454665552,0.15502918030569351,0.16272969158257214,0.3177588718882657,53.86686198961183,100.0,0.3,0.9090909090909087,3.3474483693592255e-16,0.9090909090909091,0.9375,0.04105613304496735,0.7999999999999999,0.948099075871287,0.04763926894928073,94.80990758712869,1.049374266046504,0.7,0.78
