dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,auprc_mean,auprc_std,auprc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
shuttle_2_vs_5,66.67,standard,0.0002979455561662474,0.045183814046632374,0.3804565406935691,0.42564035474020145,2.4182321366806163,0.001,0.9,0.9856626506024093,0.002310228845499274,0.9849397590361446,0.999993883792049,6.11620795107015e-05,0.999388379204893,0.9996666666666667,0.003333333333333344,0.9666666666666666,0.06637726170985843,0.0248726787092854,6.637726170985843,,,
shuttle_2_vs_5,66.67,stable,0.0011806488090781416,0.09586978278058506,0.8283414282990079,0.924211211079593,102.25241528364626,0.001,0.78,0.9870481927710841,0.004291828384632602,0.9849397590361446,0.9986727828746176,0.0007327856658449816,0.9981651376146788,0.9124,0.05005290130744596,0.8766666666666667,4.895468741239456,0.7619049117351187,489.5468741239456,1.0000000000000002,0.7,1.0
shuttle_2_vs_5,66.67,balanced,0.0010604088145972019,0.09083388460567193,0.7143191898904462,0.8051530744961182,78.68199701758599,0.001,0.75,0.9866867469879517,0.003927930343261968,0.9849397590361446,0.9990275229357796,0.0008566000128465559,0.9938837920489296,0.9388238095238095,0.05953835147042026,0.5628571428571427,8.412372612140752,1.6370248885052345,841.2372612140753,1.0000000000000002,0.7,1.0
MEAN,66.67,balanced,0.0010604088145972019,0.09083388460567193,0.7143191898904462,0.8051530744961182,78.68199701758599,0.001,0.75,0.9866867469879517,0.003927930343261968,0.9849397590361446,0.9990275229357796,0.0008566000128465559,0.9938837920489296,0.9388238095238095,0.05953835147042026,0.5628571428571427,8.412372612140752,1.6370248885052345,841.2372612140753,1.0000000000000002,0.7,1.0
MEAN,66.67,stable,0.0011806488090781416,0.09586978278058506,0.8283414282990079,0.924211211079593,102.25241528364626,0.001,0.78,0.9870481927710841,0.004291828384632602,0.9849397590361446,0.9986727828746176,0.0007327856658449816,0.9981651376146788,0.9124,0.05005290130744596,0.8766666666666667,4.895468741239456,0.7619049117351187,489.5468741239456,1.0000000000000002,0.7,1.0
MEAN,66.67,standard,0.0002979455561662474,0.045183814046632374,0.3804565406935691,0.42564035474020145,2.4182321366806163,0.001,0.9,0.9856626506024093,0.002310228845499274,0.9849397590361446,0.999993883792049,6.11620795107015e-05,0.999388379204893,0.9996666666666667,0.003333333333333344,0.9666666666666666,0.06637726170985843,0.0248726787092854,6.637726170985843,,,
