dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
glass4,15.46,standard,0.01419535538962281,0.32235010234216405,0.7067772186232384,1.0291273209654024,30.13795977011276,0.001,0.3,0.9527272727272731,0.011039925569980106,0.8636363636363636,0.4004761904761906,0.34312526259397447,0.04761904761904767,0.004324002063367516,7.674051464954566e-05,0.4324002063367516,,,
glass4,15.46,stable,0.00495669102619387,0.39919305790770515,0.9639971469729748,1.3631902048806799,25.24427087101385,0.001,0.38,0.9531818181818185,0.007793027636262069,0.9090909090909091,0.4566666666666668,0.3651166929909884,0.04761904761904767,0.32859811376896686,0.009416336295721629,32.85981137689669,1.0000000000000002,0.7,1.0
glass4,15.46,balanced,0.004592265364110581,0.4258394187714815,1.0260574800099653,1.451896898781447,21.429928483614688,0.1,0.28,0.9531818181818185,0.007793027636262069,0.9090909090909091,0.12095238095238096,0.10384839372723573,0.0,0.33920821581035854,0.009846519942296992,33.92082158103585,1.0782249502129868,0.7,0.87
