dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
shuttle_c0_vs_c4,13.87,standard,6.226571733824759e-06,0.005763695656409554,0.010301398485455356,0.01606509414186491,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,0.043579423308838156,0.009203334136416112,4.357942330883816,,,
shuttle_c0_vs_c4,13.87,stable,4.0754557774376273e-10,7.920599754780972e-06,0.00023013188215394143,0.0002380524819087224,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,2.2740625549398827,0.28980750558801993,227.40625549398828,1.0000000000000002,0.7,1.0
shuttle_c0_vs_c4,13.87,balanced,3.521784294574439e-10,6.009769211026781e-06,0.00029847708024500396,0.0003044868494560307,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,4.272003364136908,0.4751626880688334,427.2003364136908,1.0000000000000002,0.7,1.0
