dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
winequality_white_9_vs_4,32.6,standard,0.014479545202897431,0.18677990366197947,0.846873757388168,1.0336536610501474,19.719715435794843,0.01,0.29,0.9552941176470588,0.025249099764172236,0.9411764705882353,1.0,0.0,1.0,0.004535784535109996,0.00023306442764404634,0.4535784535109997,,,
winequality_white_9_vs_4,32.6,stable,0.007710216603557048,0.1649614062304129,0.9434915283977608,1.1084529346281737,22.418564181580948,0.001,0.68,0.9488235294117646,0.01988221582291948,0.9411764705882353,1.0,0.0,1.0,0.30399274418712596,0.014066650650328832,30.399274418712594,1.0000000000000002,0.7,1.0
winequality_white_9_vs_4,32.6,balanced,0.010412994571873155,0.22608108126926546,1.1514021000351127,1.3774831813043782,36.4334405408771,0.001,0.55,0.9552941176470588,0.02524909976417223,0.9411764705882353,1.0,0.0,1.0,0.3145874887111131,0.010668383911230768,31.45874887111131,1.0654647498224472,0.7,0.88
