dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
page_blocks0,8.79,standard,0.0005629121209428158,0.3439132035048954,0.17390318774324035,0.5178163912481357,25.267308846468236,100.0,0.48,0.9471167883211677,0.0030686675202181123,0.9288321167883211,0.9479720165505227,0.004661536674109286,0.9309668989547039,0.10587594204582274,0.0305264311922917,10.587594204582274,,,
page_blocks0,8.79,stable,4.763778539315834e-05,0.03718927780949557,0.03263626786579167,0.06982554567528723,1.0,100.0,1.0,0.9451277372262775,0.0018386813911768422,0.9379562043795621,0.9385500145180022,0.0016690860642591355,0.9348867595818815,4.726226582165109,0.4653590118349811,472.6226582165109,1.020751602499404,0.7,0.98
page_blocks0,8.79,balanced,5.5122117342046736e-05,0.03950033271565832,0.03410583952299453,0.07360617223865284,1.0,100.0,1.0,0.944014598540146,0.0016784954895576688,0.9379562043795621,0.9375994483159118,0.0017315159015995208,0.9336164343786295,8.84602562624379,0.7921749580808591,884.6025626243791,1.0506003472655765,0.7,0.88
