dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
blood_transfusion,3.2,standard,0.0024916328876917935,0.17838961737377346,0.10317368017199459,0.28156329754576803,19.543144750635513,0.01,0.38,0.7738666666666664,0.006542959993534424,0.76,0.7567738791423002,0.01622739682583788,0.72953216374269,0.009603865027893335,0.004175506232132142,0.9603865027893335,,,
blood_transfusion,3.2,stable,0.002381993407397067,0.13465232857923148,0.17783704121986563,0.31248936979909714,12.163779544035751,10.0,0.44,0.7745333333333332,0.00828125138968286,0.76,0.7493372319688109,0.011662944738675783,0.7236842105263157,0.2965112728218082,0.025175874603035654,29.651127282180823,1.0998802017909743,0.9,0.34
blood_transfusion,3.2,balanced,0.0015098624086816565,0.11538606390322488,0.05778264372957801,0.1731687076328029,66.96571435475828,0.001,0.26,0.7616000000000003,0.004354648431614531,0.76,0.7379532163742691,0.016387530997408938,0.6817738791423003,0.577364388309652,0.0401809065146309,57.7364388309652,1.1204800845116942,0.9,0.52
