dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
polish_bankruptcy_5year,13.41,standard,0.001721997633957153,2.065252114658864,0.43330936905693385,2.4985614837157977,13.726473225396655,100.0,0.91,0.9309475465313026,0.0026963044023706924,0.922165820642978,0.8396425720620841,0.01433128298517463,0.7900665188470066,1.1343647099926601,0.2175602556434493,113.43647099926602,,,
polish_bankruptcy_5year,13.41,stable,0.00028121777431830614,0.024913221275348403,0.07097577563330884,0.09588899690865724,52.20749141469444,0.001,0.38,0.9307614213197969,0.0006215816012179235,0.9289340101522843,0.832240798226164,0.012834860032799001,0.7989356984478935,29.961540992108638,3.32579786958313,2996.154099210864,1.028370569163074,0.7,0.89
polish_bankruptcy_5year,13.41,balanced,2.146467684338656e-05,0.005623970777310319,0.006095369663665315,0.011719340440975634,47.38188736768563,0.001,0.27,0.9306260575296109,0.00024049714196909915,0.9289340101522843,0.8243263858093125,0.01376634829556639,0.7889135254988914,61.08524985287688,6.286365596007992,6108.524985287688,1.0406819174705546,0.7,0.78
