dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
shuttle_c0_vs_c4,13.87,standard,0.0028467481445798456,0.02266089197632928,0.26393864897405084,0.2865995409503801,16.20159962638566,0.001,0.83,1.0,0.0,1.0,1.0,0.0,1.0,0.007803630371345207,0.001340289761830348,0.7803630371345207,,,
shuttle_c0_vs_c4,13.87,stable,4.532121175577026e-06,0.006427141476755297,0.002780656536815334,0.00920779801357063,1.0000000000000009,0.001,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.772677055406384,0.04246416858121074,277.2677055406384,1.0000000000000002,0.7,1.0
shuttle_c0_vs_c4,13.87,balanced,6.75966106872118e-06,0.0063421147097294595,0.0030086359574154247,0.009350750667144884,1.0000000000000009,0.001,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.775465291282162,0.033933063327695676,277.5465291282162,1.0000000000000002,0.7,1.0
